Fecha;Hora;"Gx Eólica
[MW]";"Gx. Geotérmica
[MW]";"Gx Hidráulica Pasada
[MW]";"Gx Hidráulica Embalse
[MW]";"Gx Solar
[MW]";Fecha;Hora;"Demanda
[MW]";Demanda Renovable [MW];Demanda No Renovable [MW];Produccion total;Condicion;Energia faltante [MW];Demanda No Renovable real [MW];Energia vertida
01-09-2020;1;263,1994906;30,7763;255,9749896;2098,41656;0;01-09-2020;1;8745;2623,509125;6121,521291;2648,36734;FALSO;;6121,521291;-24,85821535
01-09-2020;2;223,5895121;31,295;249,4731021;1991,35802;0;01-09-2020;2;8263;2478,834548;5783,947279;2495,715634;FALSO;;5783,947279;-16,88108598
01-09-2020;3;210,8630204;31,4731;243,5921167;2037,5925;0;01-09-2020;3;8000;2399,996473;5599,991771;2523,520737;FALSO;;5599,991771;-123,5242636
01-09-2020;4;152,4406106;30,9035;242,4964653;1967,9392;0;01-09-2020;4;7880;2364,11168;5516,260587;2393,779776;FALSO;;5516,260587;-29,6680956
01-09-2020;5;127,1676571;30,9063;241,6478643;1851,47918;0;01-09-2020;5;7832;2349,490107;5482,143582;2251,201001;VERDADERO;98,28910523;5580,432687;
01-09-2020;6;141,6843518;31,3;240,7340427;1849,77122;0;01-09-2020;6;7872;2361,501531;5510,170238;2263,489615;VERDADERO;98,01191611;5608,182154;
01-09-2020;7;204,7113373;30,2356;239,3825776;1760,29102;0;01-09-2020;7;8103;2431,029607;5672,402416;2234,620535;VERDADERO;196,4090719;5868,811488;
01-09-2020;8;241,2576422;29,921;237,9794341;1828,31666;91,65838372;01-09-2020;8;8287;2485,950492;5800,551147;2429,13312;VERDADERO;56,81737166;5857,368519;
01-09-2020;9;229,325558;29,4214;232,5907556;2181,88804;422,4500291;01-09-2020;9;9022;2706,677746;6315,581407;3095,675783;FALSO;;6315,581407;-388,9980368
01-09-2020;10;248,7922447;29,3978;235,5159471;2300,40402;822,2484145;01-09-2020;10;9631;2889,337713;6741,787997;3636,358426;FALSO;;6741,787997;-747,0207132
01-09-2020;11;275,4999657;28,7168;234,5606708;2300,98236;1097,657688;01-09-2020;11;9881;2964,287633;6916,671143;3937,417485;FALSO;;6916,671143;-973,1298518
01-09-2020;12;309,2281681;28,4498;237,4052461;2240,4844;1404,389128;01-09-2020;12;9973;2992,04718;6981,44342;4219,956742;FALSO;;6981,44342;-1227,909562
01-09-2020;13;377,0017171;28,5431;240,4049608;2211,41808;1598,095547;01-09-2020;13;9933;2980,015;6953,368333;4455,463405;FALSO;;6953,368333;-1475,448405
01-09-2020;14;386,6479716;28,6238;236,5572593;2192,25272;1649,70948;01-09-2020;14;9912;2973,534137;6938,24632;4493,791231;FALSO;;6938,24632;-1520,257094
01-09-2020;15;404,4955594;27,1578;236,5815678;2114,83376;1662,633398;01-09-2020;15;9838;2951,545478;6886,939448;4445,702085;FALSO;;6886,939448;-1494,156608
01-09-2020;16;411,2624453;25,5512;237,4099946;2043,64006;1702,687679;01-09-2020;16;9695;2908,630504;6786,80451;4420,551379;FALSO;;6786,80451;-1511,920875
01-09-2020;17;410,8373985;26,4928;245,4881576;2090,71684;1568,363111;01-09-2020;17;9532;2859,697131;6672,626639;4341,898307;FALSO;;6672,626639;-1482,201176
01-09-2020;18;458,2546088;26,7024;253,0225461;2129,62734;833,3793104;01-09-2020;18;9358;2807,429938;6550,669856;3700,986205;FALSO;;6550,669856;-893,556267
01-09-2020;19;463,4128469;27,1451;269,1078202;2786,79558;78,9495373;01-09-2020;19;9801;2940,436745;6861,019073;3625,410884;FALSO;;6861,019073;-684,9741389
01-09-2020;20;372,9219726;28,5084;281,4073975;3307,39332;1,323927124;01-09-2020;20;10299;3089,569597;7208,995727;3991,555017;FALSO;;7208,995727;-901,9854201
01-09-2020;21;336,9563954;29,8983;289,2004216;3130,28538;0;01-09-2020;21;10150;3044,85848;7104,669787;3786,340497;FALSO;;7104,669787;-741,482017
01-09-2020;22;424,8000694;31,5241;290,5089778;2815,6764;0;01-09-2020;22;10038;3011,404997;7026,61166;3562,509547;FALSO;;7026,61166;-551,1045501
01-09-2020;23;429,8277998;33,0335;289,2253965;2414,07354;0;01-09-2020;23;9667;2899,966118;6766,587609;3166,160236;FALSO;;6766,587609;-266,194118
01-09-2020;24;387,1808126;33,5534;281,1089992;1915,05152;0;01-09-2020;24;9178;2753,483891;6424,795745;2616,894732;VERDADERO;136,5891588;6561,384903;
02-09-2020;1;365,4533656;31,975;260,2845683;1959,40028;0;02-09-2020;1;8675;2602,57031;6072,664057;2617,113214;FALSO;;6072,664057;-14,54290394
