Fecha;Hora;"Demanda
[MW]";Demanda Renovable [MW];Demanda No Renovable [MW]
01-09-2020;1;8745;2623,5;6121,5
01-09-2020;2;8263;2478,9;5784,1
01-09-2020;3;8000;2400;5600
01-09-2020;4;7880;2364;5516
01-09-2020;5;7832;2349,6;5482,4
01-09-2020;6;7872;2361,6;5510,4
01-09-2020;7;8103;2430,9;5672,1
01-09-2020;8;8287;2486,1;5800,9
01-09-2020;9;9022;2706,6;6315,4
01-09-2020;10;9631;2889,3;6741,7
01-09-2020;11;9881;2964,3;6916,7
01-09-2020;12;9973;2991,9;6981,1
01-09-2020;13;9933;2979,9;6953,1
01-09-2020;14;9912;2973,6;6938,4
01-09-2020;15;9838;2951,4;6886,6
01-09-2020;16;9695;2908,5;6786,5
01-09-2020;17;9532;2859,6;6672,4
01-09-2020;18;9358;2807,4;6550,6
01-09-2020;19;9801;2940,3;6860,7
01-09-2020;20;10299;3089,7;7209,3
01-09-2020;21;10150;3045;7105
01-09-2020;22;10038;3011,4;7026,6
01-09-2020;23;9667;2900,1;6766,9
01-09-2020;24;9178;2753,4;6424,6
02-09-2020;1;8675;2602,5;6072,5
02-09-2020;2;8231;2469,3;5761,7
02-09-2020;3;7961;2388,3;5572,7
02-09-2020;4;7810;2343;5467
02-09-2020;5;7758;2327,4;5430,6
02-09-2020;6;7808;2342,4;5465,6
02-09-2020;7;8010;2403;5607
02-09-2020;8;8167;2450,1;5716,9
02-09-2020;9;8635;2590,5;6044,5
02-09-2020;10;9108;2732,4;6375,6
02-09-2020;11;9265;2779,5;6485,5
02-09-2020;12;9264;2779,2;6484,8
02-09-2020;13;9173;2751,9;6421,1
02-09-2020;14;9181;2754,3;6426,7
02-09-2020;15;9115;2734,5;6380,5
02-09-2020;16;9003;2700,9;6302,1
02-09-2020;17;9001;2700,3;6300,7
02-09-2020;18;9029;2708,7;6320,3
02-09-2020;19;9490;2847;6643
02-09-2020;20;10041;3012,3;7028,7
02-09-2020;21;9927;2978,1;6948,9
02-09-2020;22;9829;2948,7;6880,3
02-09-2020;23;9546;2863,8;6682,2
02-09-2020;24;9128;2738,4;6389,6
03-09-2020;1;8635;2590,5;6044,5
03-09-2020;2;8116;2434,8;5681,2
03-09-2020;3;7860;2358;5502
03-09-2020;4;7789;2336,7;5452,3
03-09-2020;5;7763;2328,9;5434,1
03-09-2020;6;7782;2334,6;5447,4
03-09-2020;7;7975;2392,5;5582,5
03-09-2020;8;8128;2438,4;5689,6
03-09-2020;9;8583;2574,9;6008,1
03-09-2020;10;9074;2722,2;6351,8
03-09-2020;11;9301;2790,3;6510,7
03-09-2020;12;9314;2794,2;6519,8
03-09-2020;13;9300;2790;6510
03-09-2020;14;9283;2784,9;6498,1
03-09-2020;15;9211;2763,3;6447,7
03-09-2020;16;9053;2715,9;6337,1
03-09-2020;17;9041;2712,3;6328,7
03-09-2020;18;9007;2702,1;6304,9
03-09-2020;19;9434;2830,2;6603,8
03-09-2020;20;9975;2992,5;6982,5
03-09-2020;21;9894;2968,2;6925,8
03-09-2020;22;9788;2936,4;6851,6
03-09-2020;23;9408;2822,4;6585,6
03-09-2020;24;9042;2712,6;6329,4
04-09-2020;1;8577;2573,1;6003,9
04-09-2020;2;8191;2457,3;5733,7
04-09-2020;3;7912;2373,6;5538,4
04-09-2020;4;7753;2325,9;5427,1
04-09-2020;5;7648;2294,4;5353,6
04-09-2020;6;7721;2316,3;5404,7
04-09-2020;7;7980;2394;5586
04-09-2020;8;8159;2447,7;5711,3
04-09-2020;9;8628;2588,4;6039,6
04-09-2020;10;9243;2772,9;6470,1
04-09-2020;11;9294;2788,2;6505,8
04-09-2020;12;9291;2787,3;6503,7
04-09-2020;13;9365;2809,5;6555,5
04-09-2020;14;9316;2794,8;6521,2
04-09-2020;15;9136;2740,8;6395,2
04-09-2020;16;9068;2720,4;6347,6
04-09-2020;17;8932;2679,6;6252,4
04-09-2020;18;8887;2666,1;6220,9
04-09-2020;19;9346;2803,8;6542,2
04-09-2020;20;9914;2974,2;6939,8
04-09-2020;21;9857;2957,1;6899,9
04-09-2020;22;9761;2928,3;6832,7
04-09-2020;23;9497;2849,1;6647,9
04-09-2020;24;9165;2749,5;6415,5
05-09-2020;1;8716;2614,8;6101,2
05-09-2020;2;8256;2476,8;5779,2
05-09-2020;3;7947;2384,1;5562,9
05-09-2020;4;7761;2328,3;5432,7
05-09-2020;5;7710;2313;5397
05-09-2020;6;7676;2302,8;5373,2
05-09-2020;7;7744;2323,2;5420,8
05-09-2020;8;7537;2261,1;5275,9
05-09-2020;9;7654;2296,2;5357,8
05-09-2020;10;8183;2454,9;5728,1
05-09-2020;11;8529;2558,7;5970,3
05-09-2020;12;8632;2589,6;6042,4
05-09-2020;13;8586;2575,8;6010,2
05-09-2020;14;8627;2588,1;6038,9
05-09-2020;15;8493;2547,9;5945,1
05-09-2020;16;8321;2496,3;5824,7
05-09-2020;17;8255;2476,5;5778,5
05-09-2020;18;8387;2516,1;5870,9
05-09-2020;19;8873;2661,9;6211,1
05-09-2020;20;9445;2833,5;6611,5
05-09-2020;21;9347;2804,1;6542,9
05-09-2020;22;9238;2771,4;6466,6
05-09-2020;23;8967;2690,1;6276,9
05-09-2020;24;8567;2570,1;5996,9
06-09-2020;1;8346;2503,8;5842,2
06-09-2020;2;8125;2437,5;5687,5
06-09-2020;3;7675;2302,5;5372,5
06-09-2020;4;7391;2217,3;5173,7
06-09-2020;5;7248;2174,4;5073,6
06-09-2020;6;7154;2146,2;5007,8
06-09-2020;7;7166;2149,8;5016,2
06-09-2020;8;7149;2144,7;5004,3
06-09-2020;9;7220;2166;5054
06-09-2020;10;7330;2199;5131
06-09-2020;11;7600;2280;5320
06-09-2020;12;7811;2343,3;5467,7
06-09-2020;13;7928;2378,4;5549,6
06-09-2020;14;8098;2429,4;5668,6
06-09-2020;15;8000;2400;5600
06-09-2020;16;7963;2388,9;5574,1
06-09-2020;17;7823;2346,9;5476,1
06-09-2020;18;7709;2312,7;5396,3
06-09-2020;19;7907;2372,1;5534,9
06-09-2020;20;8650;2595;6055
06-09-2020;21;9361;2808,3;6552,7
06-09-2020;22;9278;2783,4;6494,6
06-09-2020;23;9093;2727,9;6365,1
06-09-2020;24;8753;2625,9;6127,1
07-09-2020;1;8382;2514,6;5867,4
07-09-2020;2;8016;2404,8;5611,2
07-09-2020;3;7664;2299,2;5364,8
07-09-2020;4;7543;2262,9;5280,1
07-09-2020;5;7498;2249,4;5248,6
07-09-2020;6;7631;2289,3;5341,7
07-09-2020;7;7848;2354,4;5493,6
07-09-2020;8;8264;2479,2;5784,8
07-09-2020;9;8719;2615,7;6103,3
07-09-2020;10;9237;2771,1;6465,9
07-09-2020;11;9425;2827,5;6597,5
07-09-2020;12;9533;2859,9;6673,1
07-09-2020;13;9567;2870,1;6696,9
07-09-2020;14;9466;2839,8;6626,2
07-09-2020;15;9359;2807,7;6551,3
07-09-2020;16;9271;2781,3;6489,7
07-09-2020;17;9195;2758,5;6436,5
07-09-2020;18;8980;2694;6286
07-09-2020;19;8881;2664,3;6216,7
07-09-2020;20;9344;2803,2;6540,8
07-09-2020;21;9847;2954,1;6892,9
07-09-2020;22;9790;2937;6853
07-09-2020;23;9469;2840,7;6628,3
07-09-2020;24;9073;2721,9;6351,1
08-09-2020;1;8668;2600,4;6067,6
08-09-2020;2;8262;2478,6;5783,4
08-09-2020;3;7963;2388,9;5574,1
08-09-2020;4;7839;2351,7;5487,3
08-09-2020;5;7775;2332,5;5442,5
08-09-2020;6;7794;2338,2;5455,8
08-09-2020;7;8040;2412;5628
08-09-2020;8;8450;2535;5915
08-09-2020;9;8943;2682,9;6260,1
08-09-2020;10;9344;2803,2;6540,8
08-09-2020;11;9654;2896,2;6757,8
08-09-2020;12;9705;2911,5;6793,5
08-09-2020;13;9770;2931;6839
08-09-2020;14;9834;2950,2;6883,8
08-09-2020;15;9865;2959,5;6905,5
08-09-2020;16;9807;2942,1;6864,9
08-09-2020;17;9720;2916;6804
08-09-2020;18;9412;2823,6;6588,4
08-09-2020;19;9314;2794,2;6519,8
08-09-2020;20;9793;2937,9;6855,1
08-09-2020;21;10113;3033,9;7079,1
08-09-2020;22;10019;3005,7;7013,3
08-09-2020;23;9672;2901,6;6770,4
08-09-2020;24;9260;2778;6482
09-09-2020;1;8779;2633,7;6145,3
09-09-2020;2;8283;2484,9;5798,1
09-09-2020;3;7906;2371,8;5534,2
09-09-2020;4;7754;2326,2;5427,8
09-09-2020;5;7691;2307,3;5383,7
09-09-2020;6;7758;2327,4;5430,6
09-09-2020;7;7991;2397,3;5593,7
09-09-2020;8;8403;2520,9;5882,1
09-09-2020;9;8813;2643,9;6169,1
09-09-2020;10;9178;2753,4;6424,6
09-09-2020;11;9245;2773,5;6471,5
09-09-2020;12;9225;2767,5;6457,5
09-09-2020;13;9264;2779,2;6484,8
09-09-2020;14;9262;2778,6;6483,4
09-09-2020;15;9201;2760,3;6440,7
