Fecha;Hora;"Demanda
[MW]"
01-09-2020;1;8745
01-09-2020;2;8263
01-09-2020;3;8000
01-09-2020;4;7880
01-09-2020;5;7832
01-09-2020;6;7872
01-09-2020;7;8103
01-09-2020;8;8287
01-09-2020;9;9022
01-09-2020;10;9631
01-09-2020;11;9881
01-09-2020;12;9973
01-09-2020;13;9933
01-09-2020;14;9912
01-09-2020;15;9838
01-09-2020;16;9695
01-09-2020;17;9532
01-09-2020;18;9358
01-09-2020;19;9801
01-09-2020;20;10299
01-09-2020;21;10150
01-09-2020;22;10038
01-09-2020;23;9667
01-09-2020;24;9178
02-09-2020;1;8675
02-09-2020;2;8231
02-09-2020;3;7961
02-09-2020;4;7810
02-09-2020;5;7758
02-09-2020;6;7808
02-09-2020;7;8010
02-09-2020;8;8167
02-09-2020;9;8635
02-09-2020;10;9108
02-09-2020;11;9265
02-09-2020;12;9264
02-09-2020;13;9173
02-09-2020;14;9181
02-09-2020;15;9115
02-09-2020;16;9003
02-09-2020;17;9001
02-09-2020;18;9029
02-09-2020;19;9490
02-09-2020;20;10041
02-09-2020;21;9927
02-09-2020;22;9829
02-09-2020;23;9546
02-09-2020;24;9128
03-09-2020;1;8635
03-09-2020;2;8116
03-09-2020;3;7860
03-09-2020;4;7789
03-09-2020;5;7763
03-09-2020;6;7782
03-09-2020;7;7975
03-09-2020;8;8128
03-09-2020;9;8583
03-09-2020;10;9074
03-09-2020;11;9301
03-09-2020;12;9314
03-09-2020;13;9300
03-09-2020;14;9283
03-09-2020;15;9211
03-09-2020;16;9053
03-09-2020;17;9041
03-09-2020;18;9007
03-09-2020;19;9434
03-09-2020;20;9975
03-09-2020;21;9894
03-09-2020;22;9788
03-09-2020;23;9408
03-09-2020;24;9042
04-09-2020;1;8577
04-09-2020;2;8191
04-09-2020;3;7912
04-09-2020;4;7753
04-09-2020;5;7648
04-09-2020;6;7721
04-09-2020;7;7980
04-09-2020;8;8159
04-09-2020;9;8628
04-09-2020;10;9243
04-09-2020;11;9294
04-09-2020;12;9291
04-09-2020;13;9365
04-09-2020;14;9316
04-09-2020;15;9136
04-09-2020;16;9068
04-09-2020;17;8932
04-09-2020;18;8887
04-09-2020;19;9346
04-09-2020;20;9914
04-09-2020;21;9857
04-09-2020;22;9761
04-09-2020;23;9497
04-09-2020;24;9165
05-09-2020;1;8716
05-09-2020;2;8256
05-09-2020;3;7947
05-09-2020;4;7761
05-09-2020;5;7710
05-09-2020;6;7676
05-09-2020;7;7744
05-09-2020;8;7537
05-09-2020;9;7654
05-09-2020;10;8183
05-09-2020;11;8529
05-09-2020;12;8632
05-09-2020;13;8586
05-09-2020;14;8627
05-09-2020;15;8493
05-09-2020;16;8321
05-09-2020;17;8255
05-09-2020;18;8387
05-09-2020;19;8873
05-09-2020;20;9445
05-09-2020;21;9347
05-09-2020;22;9238
05-09-2020;23;8967
05-09-2020;24;8567
06-09-2020;1;8346
06-09-2020;2;8125
06-09-2020;3;7675
06-09-2020;4;7391
06-09-2020;5;7248
06-09-2020;6;7154
06-09-2020;7;7166
06-09-2020;8;7149
06-09-2020;9;7220
06-09-2020;10;7330
06-09-2020;11;7600
06-09-2020;12;7811
06-09-2020;13;7928
06-09-2020;14;8098
06-09-2020;15;8000
06-09-2020;16;7963
06-09-2020;17;7823
06-09-2020;18;7709
06-09-2020;19;7907
06-09-2020;20;8650
06-09-2020;21;9361
06-09-2020;22;9278
06-09-2020;23;9093
06-09-2020;24;8753
07-09-2020;1;8382
07-09-2020;2;8016
07-09-2020;3;7664
07-09-2020;4;7543
07-09-2020;5;7498
07-09-2020;6;7631
07-09-2020;7;7848
07-09-2020;8;8264
07-09-2020;9;8719
07-09-2020;10;9237
07-09-2020;11;9425
07-09-2020;12;9533
07-09-2020;13;9567
07-09-2020;14;9466
07-09-2020;15;9359
07-09-2020;16;9271
07-09-2020;17;9195
07-09-2020;18;8980
07-09-2020;19;8881
07-09-2020;20;9344
07-09-2020;21;9847
07-09-2020;22;9790
07-09-2020;23;9469
07-09-2020;24;9073
08-09-2020;1;8668
08-09-2020;2;8262
08-09-2020;3;7963
08-09-2020;4;7839
08-09-2020;5;7775
08-09-2020;6;7794
08-09-2020;7;8040
08-09-2020;8;8450
08-09-2020;9;8943
08-09-2020;10;9344
08-09-2020;11;9654
08-09-2020;12;9705
08-09-2020;13;9770
08-09-2020;14;9834
08-09-2020;15;9865
08-09-2020;16;9807
08-09-2020;17;9720
08-09-2020;18;9412
08-09-2020;19;9314
08-09-2020;20;9793
08-09-2020;21;10113
08-09-2020;22;10019
08-09-2020;23;9672
08-09-2020;24;9260
09-09-2020;1;8779
09-09-2020;2;8283
09-09-2020;3;7906
09-09-2020;4;7754
09-09-2020;5;7691
09-09-2020;6;7758
09-09-2020;7;7991
09-09-2020;8;8403
09-09-2020;9;8813
09-09-2020;10;9178
09-09-2020;11;9245
09-09-2020;12;9225
09-09-2020;13;9264
09-09-2020;14;9262
09-09-2020;15;9201
09-09-2020;16;9102
09-09-2020;17;8989
09-09-2020;18;8661
09-09-2020;19;8522
09-09-2020;20;9033
09-09-2020;21;9632
09-09-2020;22;9615
09-09-2020;23;9362
09-09-2020;24;8961
10-09-2020;1;8547
10-09-2020;2;8121
10-09-2020;3;7795
10-09-2020;4;7641
10-09-2020;5;7593
10-09-2020;6;7675
10-09-2020;7;7908
10-09-2020;8;8300
10-09-2020;9;8766
10-09-2020;10;9220
10-09-2020;11;9306
10-09-2020;12;9299
10-09-2020;13;9294
10-09-2020;14;9283
10-09-2020;15;9240
10-09-2020;16;9127
10-09-2020;17;9037
10-09-2020;18;8724
10-09-2020;19;8613
10-09-2020;20;9113
10-09-2020;21;9537
10-09-2020;22;9574
10-09-2020;23;9353
10-09-2020;24;8987
11-09-2020;1;8580
11-09-2020;2;8221
11-09-2020;3;7976
11-09-2020;4;7802
11-09-2020;5;7820
11-09-2020;6;7832
11-09-2020;7;8075
11-09-2020;8;8393
11-09-2020;9;8759
11-09-2020;10;9131
11-09-2020;11;9240
11-09-2020;12;9303
11-09-2020;13;9184
11-09-2020;14;9151
11-09-2020;15;9090
11-09-2020;16;8973
11-09-2020;17;8761
11-09-2020;18;8487
11-09-2020;19;8407
11-09-2020;20;8905
11-09-2020;21;9563
11-09-2020;22;9523
11-09-2020;23;9353
11-09-2020;24;8977
12-09-2020;1;8569
12-09-2020;2;8161
12-09-2020;3;7868
12-09-2020;4;7649
12-09-2020;5;7572
12-09-2020;6;7571
12-09-2020;7;7610
12-09-2020;8;7691
12-09-2020;9;7827
12-09-2020;10;8113
12-09-2020;11;8342
12-09-2020;12;8483
12-09-2020;13;8473
12-09-2020;14;8491
12-09-2020;15;8469
12-09-2020;16;8355
12-09-2020;17;8204
12-09-2020;18;8051
12-09-2020;19;8148
12-09-2020;20;8606
12-09-2020;21;9156
12-09-2020;22;9034
12-09-2020;23;8781
12-09-2020;24;8559
13-09-2020;1;8204
13-09-2020;2;7799
13-09-2020;3;7537
13-09-2020;4;7338
13-09-2020;5;7244
13-09-2020;6;7213
13-09-2020;7;7217
13-09-2020;8;7238
