Fecha;Hora;"Gx Eólica
[MW]";"Gx. Geotérmica
[MW]";"Gx Hidráulica Pasada
[MW]";"Gx Hidráulica Embalse
[MW]";"Gx Solar
[MW]"
01-09-2020;1;263,1994906;30,7763;255,9749896;2098,41656;0
01-09-2020;2;223,5895121;31,295;249,4731021;1991,35802;0
01-09-2020;3;210,8630204;31,4731;243,5921167;2037,5925;0
01-09-2020;4;152,4406106;30,9035;242,4964653;1967,9392;0
01-09-2020;5;127,1676571;30,9063;241,6478643;1851,47918;0
01-09-2020;6;141,6843518;31,3;240,7340427;1849,77122;0
01-09-2020;7;204,7113373;30,2356;239,3825776;1760,29102;0
01-09-2020;8;241,2576422;29,921;237,9794341;1828,31666;91,65838372
01-09-2020;9;229,325558;29,4214;232,5907556;2181,88804;422,4500291
01-09-2020;10;248,7922447;29,3978;235,5159471;2300,40402;822,2484145
01-09-2020;11;275,4999657;28,7168;234,5606708;2300,98236;1097,657688
01-09-2020;12;309,2281681;28,4498;237,4052461;2240,4844;1404,389128
01-09-2020;13;377,0017171;28,5431;240,4049608;2211,41808;1598,095547
01-09-2020;14;386,6479716;28,6238;236,5572593;2192,25272;1649,70948
01-09-2020;15;404,4955594;27,1578;236,5815678;2114,83376;1662,633398
01-09-2020;16;411,2624453;25,5512;237,4099946;2043,64006;1702,687679
01-09-2020;17;410,8373985;26,4928;245,4881576;2090,71684;1568,363111
01-09-2020;18;458,2546088;26,7024;253,0225461;2129,62734;833,3793104
01-09-2020;19;463,4128469;27,1451;269,1078202;2786,79558;78,9495373
01-09-2020;20;372,9219726;28,5084;281,4073975;3307,39332;1,323927124
01-09-2020;21;336,9563954;29,8983;289,2004216;3130,28538;0
01-09-2020;22;424,8000694;31,5241;290,5089778;2815,6764;0
01-09-2020;23;429,8277998;33,0335;289,2253965;2414,07354;0
01-09-2020;24;387,1808126;33,5534;281,1089992;1915,05152;0
02-09-2020;1;365,4533656;31,975;260,2845683;1959,40028;0
02-09-2020;2;361,5876329;31,8022;257,1453017;1781,90918;0
02-09-2020;3;339,1831722;31,9837;258,7554657;1856,1849;0
