EMPRESA;CENTRAL;UNIDAD;COMBUSTIBLE;"POTENCIA NOMINAL
[MW]";"COSTO VARIABLE
[USD/MWh]";COMENTARIOS
TERMOELÉCTRICA HORNITOS;TERMOELÉCTRICA HORNITOS;HORNITOS;Carbón;60,85;53,79182144;
Termoeléctrica Antilhue;ANTILHUE TG;ANTILHUE U2;Diesel;101,29;193,5368585;
Termoeléctrica Antilhue;ANTILHUE TG;ANTILHUE U1;Diesel;50,30;193,5368585;
TECNORED;SAN GREGORIO;SAN GREGORIO;Diesel;0,50;199,1244574;
TECNORED;QUINTAY;QUINTAY;Diesel;3,00;188,452536;
TECNORED;PLACILLA;PLACILLA;Diesel;2,40;187,333225;
TECNORED;LINARES NORTE;LINARES;Diesel;0,50;199,1244574;
TECNORED;LAS VEGAS;LAS VEGAS;Diesel;2,10;194,9903257;
TECNORED;EL TOTORAL;EL TOTORAL;Diesel;3,00;193,5164901;
TECNORED;CONCON;CONCON;Diesel;2,30;196,419452;
TECNET;DIESEL LA PORTADA;LA PORTADA;Diesel;2,95;175,7678272;
TAMAKAYA ENERGÍA;KELAR;KELAR;Gas Natural;521,71;75,73937655;
SW CONSULTING;EL SALVADOR;EL SALVADOR;Diesel;17,70;279,61921;
SOCIEDAD GENERADORA AUSTRAL;CORONEL;CORONEL;Gas Natural;12,45;142,0612572;
SOCIEDAD GENERADORA AUSTRAL;CHUYACA;CHUYACA;Diesel;13,29;187,768315;
SOCIEDAD GENERADORA AUSTRAL;CALLECALLE;CALLE CALLE;Diesel;11,60;171,3115407;
SANTA MARTA;SANTA_MARTA;SANTA MARTA;Otro;13,50;15;
PRIME ENERGIA;PAJONALES;PAJONALES;Diesel;101,36;263,025502;
PRIME ENERGIA;CHAGUAL;CHAGUAL;Diesel;102,19;239,9188236;
ON GROUP;DIÉSEL AGUAS BLANCAS;DIÉSEL AGUAS BLANCAS;Diesel;1,83;180,3276481;
NUEVA DEGAN;DEGAÑ 2;DEGAÑ 2;Diesel;14,63;255,9433156;
NUEVA DEGAN;DEGAÑ 1;DEGAÑ 1;Diesel;36,00;221,263761;
LOS GUINDOS;LOS GUINDOS;LOS GUINDOS 2;Diesel;136,88;198,535888;
LOS GUINDOS;LOS GUINDOS;LOS GUINDOS;Diesel;134,04;199,2491356;
KDM;LOMA_LOS_COLORADOS_2;LOMA LOS COLORADOS 2;Otro;18,20;10,25;
KDM;LOMA_LOS_COLORADOS_1;LOMA LOS COLORADOS 1;Otro;2,00;11,57;
INERSA;TENO_GAS_50;TENO GAS 50;Otro;43,68;187,3078368;
INACAL;DIESEL INACAL;INACAL;Diesel;5,90;225,7314054;
IMELSA;TRINCAO;TRINCAO;Diesel;17,52;172,3827595;
IMELSA;CENIZAS;CENIZAS;Diesel;13,90;174,9614769;
GUACOLDA;GUACOLDA;GUACOLDA 5;Carbón;142,67;60,72855805;
GUACOLDA;GUACOLDA;GUACOLDA 4;Carbón;142,31;55,5039896;
GUACOLDA;GUACOLDA;GUACOLDA 3;Carbón;140,60;49,84328007;
GUACOLDA;GUACOLDA;GUACOLDA 2;Carbón;133,83;57,73533236;
GUACOLDA;GUACOLDA;GUACOLDA 1;Carbón;142,31;56,90618925;
GENPAC;TERMOPACIFICO;TERMOPACIFICO;Diesel;95,56;201,8700343;
GENERADORA METROPOLITANA;SANTA_LIDIA;SANTA LIDIA;Diesel;140,88;189,0432121;
GENERADORA METROPOLITANA;RENCA;RENCA U2;Diesel;47,68;257,1812353;
GENERADORA METROPOLITANA;RENCA;RENCA U1;Diesel;48,04;257,1812353;
GENERADORA METROPOLITANA;NUEVA_RENCA;NUEVA RENCA;Gas Natural;370,10;52,78270117;
GENERADORA METROPOLITANA;LOS VIENTOS;LOS VIENTOS;Diesel;131,87;184,8084008;
GAS SUR;NEWEN;NEWEN;Gas Natural;14,46;69,3495351;
ESPINOS S.A.;OLIVOS;OLIVOS BL2;Diesel;19,20;238,0277215;
ESPINOS S.A.;OLIVOS;OLIVOS BL1;Diesel;96,00;198,7277215;
ESPINOS S.A.;LOS ESPINOS;ESPINOS BL2;Diesel;88,35;228,8408072;
ESPINOS S.A.;LOS ESPINOS;ESPINOS BL1;Diesel;35,65;187,4408072;
ENORCHILE;UJINA;UJINA U6;Fuel Oil Nro. 6;8,70;124,7061015;
ENORCHILE;UJINA;UJINA U5;Fuel Oil Nro. 6;8,70;126,871397;
ENORCHILE;UJINA;UJINA U4;Fuel Oil Nro. 6;6,62;143,7213444;
ENORCHILE;UJINA;UJINA U3;Fuel Oil Nro. 6;6,59;134,4415064;
ENORCHILE;UJINA;UJINA U2;Diesel;6,82;185,2392516;
ENORCHILE;UJINA;UJINA U1;Fuel Oil Nro. 6;6,71;133,5650772;
ENORCHILE;DIESEL MANTOS BLANCOS;MANTOS BLANCOS;Diesel;27,92;206,1741565;
ENORCHILE;ESPERANZA;ESPERANZA TG1;Diesel;18,61;288,0629307;
ENORCHILE;ESPERANZA;ESPERANZA DS2;Diesel;1,79;207,8463842;
ENORCHILE;ESPERANZA;ESPERANZA DS1;Diesel;1,59;212,8078218;
ENORCHILE;COLIHUES;COLIHUES U2;Fuel Oil Nro. 6;10,59;122,7579299;
ENORCHILE;COLIHUES;COLIHUES U1;Fuel Oil Nro. 6;10,59;122,7579299;
ENLASA;TRAPEN;TRAPEN;Diesel;1,62;203,7622166;
ENLASA;TENO;TENO;Diesel;58,88;193,4022976;
ENLASA;SAN LORENZO DE D. DE ALMAGRO;SAN LORENZO U3;Diesel;2,15;228,5607622;
ENLASA;SAN LORENZO DE D. DE ALMAGRO;SAN LORENZO U2;Diesel;2,16;294,9352732;
