CENTRAL;UNIDAD;COMBUSTIBLE;"POTENCIA NOMINAL
[MW]";"COSTO VARIABLE
[USD/MWh]";Emisiones totales (ton CO2/MWh);COMBUSTIBLE;"FACTOR EMISIONES 
(ton CO2/MWh)"
TERMOELÉCTRICA HORNITOS;HORNITOS;Carbón;60,85;53,79182144;55,99552035;Otro;0,92
ANTILHUE TG;ANTILHUE U2;Diesel;101,29;193,5368585;100,128698;Carbón;0,92
ANTILHUE TG;ANTILHUE U1;Diesel;50,3;193,5368585;49,72246588;Gas natural;0,72
SAN GREGORIO;SAN GREGORIO;Diesel;0,5;199,1244574;0,494265;Diesel;0,99
QUINTAY;QUINTAY;Diesel;3;188,452536;2,96559;Fuel Oil Nro 6;1,09
PLACILLA;PLACILLA;Diesel;2,4;187,333225;2,372472;;
LINARES NORTE;LINARES;Diesel;0,5;199,1244574;0,494265;;
LAS VEGAS;LAS VEGAS;Diesel;2,1;194,9903257;2,07492447;;
EL TOTORAL;EL TOTORAL;Diesel;3;193,5164901;2,96559;;
CONCON;CONCON;Diesel;2,3;196,419452;2,273619;;
DIESEL LA PORTADA;LA PORTADA;Diesel;2,95;175,7678272;2,918535972;;
KELAR;KELAR;Gas Natural;521,71;75,73937655;376,15291;;
EL SALVADOR;EL SALVADOR;Diesel;17,7;279,61921;17,49895806;;
CORONEL;CORONEL;Gas Natural;12,45;142,0612572;8,9794061;;
CHUYACA;CHUYACA;Diesel;13,29;187,768315;13,1375637;;
CALLECALLE;CALLE CALLE;Diesel;11,6;171,3115407;11,466948;;
SANTA_MARTA;SANTA MARTA;Otro;13,5;15;12,42351;;
PAJONALES;PAJONALES;Diesel;101,36;263,025502;100,1974008;;
CHAGUAL;CHAGUAL;Diesel;102,19;239,9188236;101,0166945;;
DIÉSEL AGUAS BLANCAS;DIÉSEL AGUAS BLANCAS;Diesel;1,83;180,3276481;1,80604431;;
DEGAÑ 2;DEGAÑ 2;Diesel;14,63;255,9433156;14,46021684;;
DEGAÑ 1;DEGAÑ 1;Diesel;36;221,263761;35,58708;;
LOS GUINDOS;LOS GUINDOS 2;Diesel;136,88;198,535888;135,3099864;;
LOS GUINDOS;LOS GUINDOS;Diesel;134,04;199,2491356;132,5055268;;
LOMA_LOS_COLORADOS_2;LOMA LOS COLORADOS 2;Otro;18,2;10,25;16,748732;;
LOMA_LOS_COLORADOS_1;LOMA LOS COLORADOS 1;Otro;2;11,57;1,84052;;
TENO_GAS_50;TENO GAS 50;Otro;43,68;187,3078368;40,1969568;;
DIESEL INACAL;INACAL;Diesel;5,9;225,7314054;5,835688002;;
TRINCAO;TRINCAO;Diesel;17,52;172,3827595;17,3190456;;
CENIZAS;CENIZAS;Diesel;13,9;174,9614769;13,740567;;
GUACOLDA;GUACOLDA 5;Carbón;142,67;60,72855805;131,296255;;
GUACOLDA;GUACOLDA 4;Carbón;142,31;55,5039896;130,9622006;;
GUACOLDA;GUACOLDA 3;Carbón;140,6;49,84328007;129,388556;;
GUACOLDA;GUACOLDA 2;Carbón;133,83;57,73533236;123,1583958;;
GUACOLDA;GUACOLDA 1;Carbón;142,31;56,90618925;130,9622006;;
TERMOPACIFICO;TERMOPACIFICO;Diesel;95,56;201,8700343;94,46620042;;
SANTA_LIDIA;SANTA LIDIA;Diesel;140,88;189,0432121;139,2641064;;
RENCA;RENCA U2;Diesel;47,68;257,1812353;47,13212187;;
RENCA;RENCA U1;Diesel;48,04;257,1812353;47,49194679;;
NUEVA_RENCA;NUEVA RENCA;Gas Natural;370,1;52,78270117;266,8421;;
LOS VIENTOS;LOS VIENTOS;Diesel;131,87;184,8084008;130,3564626;;
NEWEN;NEWEN;Gas Natural;14,46;69,3495351;10,426381;;
OLIVOS;OLIVOS BL2;Diesel;19,2;238,0277215;18,979776;;
OLIVOS;OLIVOS BL1;Diesel;96;198,7277215;94,89888;;
LOS ESPINOS;ESPINOS BL2;Diesel;88,35;228,8408072;87,3366255;;
LOS ESPINOS;ESPINOS BL1;Diesel;35,65;187,4408072;35,2410945;;
UJINA;UJINA U6;Fuel Oil Nro. 6;8,7;124,7061015;9,45494319;;
UJINA;UJINA U5;Fuel Oil Nro. 6;8,7;126,871397;9,45494319;;
UJINA;UJINA U4;Fuel Oil Nro. 6;6,62;143,7213444;7,198257;;
UJINA;UJINA U3;Fuel Oil Nro. 6;6,59;134,4415064;7,1656365;;
UJINA;UJINA U2;Diesel;6,82;185,2392516;6,7417746;;
UJINA;UJINA U1;Fuel Oil Nro. 6;6,71;133,5650772;7,2961185;;
DIESEL MANTOS BLANCOS;MANTOS BLANCOS;Diesel;27,92;206,1741565;27,5997576;;
ESPERANZA;ESPERANZA TG1;Diesel;18,61;288,0629307;18,39852036;;
ESPERANZA;ESPERANZA DS2;Diesel;1,79;207,8463842;1,77045723;;
ESPERANZA;ESPERANZA DS1;Diesel;1,59;212,8078218;1,575420261;;
COLIHUES;COLIHUES U2;Fuel Oil Nro. 6;10,59;122,7579299;11,51231813;;
COLIHUES;COLIHUES U1;Fuel Oil Nro. 6;10,59;122,7579299;11,51231813;;
TRAPEN;TRAPEN;Diesel;1,62;203,7622166;1,598255304;;
TENO;TENO;Diesel;58,88;193,4022976;58,20662346;;
SAN LORENZO DE D. DE ALMAGRO;SAN LORENZO U3;Diesel;2,15;228,5607622;2,1253395;;
SAN LORENZO DE D. DE ALMAGRO;SAN LORENZO U2;Diesel;2,16;294,9352732;2,1352248;;
SAN LORENZO DE D. DE ALMAGRO;SAN LORENZO U1;Diesel;2,19;267,5954349;2,1648807;;
EL PEÑON;EL PENON;Diesel;80,84;208,5495849;79,91078814;;
TERMOELÉCTRICA TOCOPILLA;TOCOPILLA U16;Gas Natural;351,52;87,22084664;253,44592;;
TERMOELÉCTRICA TOCOPILLA;TOCOPILLA U15;Carbón;124,06;65,63502092;114,1674556;;
TERMOELÉCTRICA TOCOPILLA;TOCOPILLA U14;Carbón;127,67;69,76770285;117,4895942;;
TERMOELÉCTRICA TOCOPILLA;TOCOPILLA TG3;Gas Natural;36,1;99,1323548;26,0281;;
TERMOELÉCTRICA TOCOPILLA;TOCOPILLA TG2;Diesel;20,42;258,7003693;20,18874819;;
TERMOELÉCTRICA TOCOPILLA;TOCOPILLA TG1;Diesel;20,42;258,7003693;20,18874819;;
TERMOELÉCTRICA MEJILLONES;MEJILLONES 3 TG + TV;Gas Natural;240,97;66,92742975;173,740091;;
TERMOELÉCTRICA MEJILLONES;MEJILLONES 3 TG;Gas Natural;156,35;40,79685943;112,727629;;
TERMOELÉCTRICA MEJILLONES;MEJILLONES 2;Carbón;156,61;53,81281972;144,1182376;;
TERMOELÉCTRICA MEJILLONES;MEJILLONES 1;Carbón;146,51;54,80250432;134,8272926;;
DIÉSEL ARICA;ARICA M2;Diesel;2,12;177,0808126;2,09864919;;
DIÉSEL ARICA;ARICA M1;Diesel;2,48;178,8618097;2,450605411;;
DIÉSEL ARICA;ARICA GM;Diesel;8,61;179,7714523;8,508880713;;
TARAPACA TG;TARAPACA TG DIE;Diesel;20,02;261,3440538;19,79234766;;
TALTAL;TALTAL 2;Gas Natural;121,32;97,37194859;87,473883;;
TALTAL;TALTAL 1;Gas Natural;118,07;97,37194859;85,124865;;
SAN_ISIDRO_2;SAN ISIDRO 2 TG+TV;Gas Natural;395,86;62,35802562;285,417223;;
SAN_ISIDRO_2;SAN ISIDRO 2 TG;Gas Natural;257,31;90,94980699;185,522673;;
SAN_ISIDRO;SAN ISIDRO TG+TV;Gas Natural;408,7;63,03494781;294,6727;;
SAN_ISIDRO;SAN ISIDRO TG;Gas Natural;250;93,74572706;180,25;;
QUINTERO;QUINTERO 1B;Gas Natural;128,1;101,4190449;92,357937;;
QUINTERO;QUINTERO 1A;Gas Natural;127,1;101,4190449;91,641984;;
HUASCO TG;HUASCO TG U3;Fuel Oil Nro. 6;19,23;225,6122094;20,90647845;;
HUASCO TG;HUASCO TG U4;Fuel Oil Nro. 6;19,23;225,6122094;20,90647845;;
HUASCO TG;HUASCO TG U5;Fuel Oil Nro. 6;19,23;225,6122094;20,90647845;;
DIEGO DE ALMAGRO;DIEGO DE ALMAGRO;Diesel;23,6691;240,8805507;23,39761542;;
TERMOELÉCTRICA BOCAMINA;BOCAMINA 2;Carbón;319,79;52,83995554;294,2899454;;
ATACAMA;TG2B;Gas Natural;114,7;148,9360327;82,6987;;
ATACAMA;TG2A+TG2B+TV2;Gas Natural;364,41;67,03564064;262,73961;;
ATACAMA;TG2A;Gas Natural;114,41;143,3497569;82,487447;;
ATACAMA;TG1B;Gas Natural;114,7;148,9360327;82,6987;;
ATACAMA;TG1A+TG1B+TV1;Gas Natural;363,58;67,03564064;262,14118;;
ATACAMA;TG1A;Gas Natural;113,58;147,3497569;81,889738;;
EMELDA;EMELDA U2;Diesel;35,15;330,0981636;34,74584097;;
EMELDA;EMELDA U1;Diesel;36,24;314,9122618;35,82729279;;
MAULE;MAULE;Diesel;6;245,2961725;5,93118;;
CONSTITUCION 1;CONSTITUCION 1;Diesel;9;245,2961725;8,89677;;
CHILOE;CHILOE;Diesel;9,06;193,148924;8,95212768;;
TERMOELÉCTRICA VENTANAS;CAMPICHE;Carbón;248,59;49,41267081;228,7674334;;
SANTA_MARIA;SANTA MARIA;Carbón;344,52;34,40460784;317,0479752;;
NEHUENCO;NEHUENCO 9B;Gas Natural;106,92;116,691794;77,08932;;
NEHUENCO;NEHUENCO 2 TG+TV;Gas Natural;387,37;71,24746723;279,296654;;
NEHUENCO;NEHUENCO 2 TG;Gas Natural;242,04;102,7107129;174,507235;;
NEHUENCO;NEHUENCO 1 TG+TV;Gas Natural;326,97;72,32487756;235,74537;;
NEHUENCO;NEHUENCO 1 TG;Gas Natural;214,99;106,0883568;155,00779;;
LOS PINOS;LOS PINOS;Diesel;106,41;132,7591193;105,1894773;;
CANDELARIA;CANDELARIA 2;Gas Natural;123,79;177,0136033;89,25259;;
CANDELARIA;CANDELARIA 1;Gas Natural;124,11;182,7775915;89,48331;;
COCHRANE;COCHRANE 2;Carbón;244,86;41,40008503;225,3348636;;
COCHRANE;COCHRANE 1;Carbón;244,74;41,40008503;225,2271932;;
YUNGAY;YUNGAY U4;Diesel;36,6;311,4789364;36,180198;;
YUNGAY;YUNGAY U3;Diesel;54,16;256,7337662;53,5387848;;
YUNGAY;YUNGAY U2;Diesel;54,56;237,9427339;53,9341968;;
YUNGAY;YUNGAY U1;Diesel;52,26;261,8585932;51,6605778;;
COLMITO;COLMITO;Gas Natural;57,87;74,92085371;41,727154;;
CARDONES;CARDONES;Diesel;154,17;204,8309108;152,4056242;;
CBB-CENTRO;CEMENTOS BIOBIO;Fuel Oil Nro. 6;13,53;165,6505989;14,7140202;;
PUNTA_COLORADA;PUNTA COLORADA;Fuel Oil Nro. 6;16,61;152,7161011;18,05979615;;
NUEVA_ALDEA_2;NUEVA ALDEA 2;Diesel;10;209,2640301;9,8853;;
HORCONES TG;HORCONES;Diesel;24,3;247,4014572;24,021279;;
TERMOELÉCTRICA ANGAMOS;ANGAMOS 2;Carbón;252,98;43,57604401;232,8027735;;
TERMOELÉCTRICA ANGAMOS;ANGAMOS 1;Carbón;248,58;43,58480257;228,7536295;;
TERMOELÉCTRICA ANDINA;ANDINA;Carbón;160,8;53,2468474;147,977808;;
ANDES GENERACIÓN;ANDES U4;Fuel Oil Nro. 6;12,76;159,3582669;13,87784805;;
ANDES GENERACIÓN;ANDES U3;Fuel Oil Nro. 6;7,2;153,6809445;7,82783265;;
