EMPRESA;CENTRAL;UNIDAD;COMBUSTIBLE;"POTENCIA NOMINAL
[MW]";"COSTO VARIABLE
[USD/MWh]";COMENTARIOS;EMPRESA;CENTRAL;UNIDAD;COMBUSTIBLE;"POTENCIA NOMINAL
[MW]";"COSTO VARIABLE
[USD/MWh]";"FACTOR EMISIONES 
(ton CO2/MWh)";COMBUSTIBLE;"FACTOR EMISIONES 
(ton CO2/MWh)";;
TERMOELÉCTRICA HORNITOS;TERMOELÉCTRICA HORNITOS;HORNITOS;Carbón;60,85;53,79182144;;TERMOELÉCTRICA HORNITOS;TERMOELÉCTRICA HORNITOS;HORNITOS;Carbón;60,85;53,79182144;55,99552035;Otro;0,92;;
Termoeléctrica Antilhue;ANTILHUE TG;ANTILHUE U2;Diesel;101,29;193,5368585;;Termoeléctrica Antilhue;ANTILHUE TG;ANTILHUE U2;Diesel;101,29;193,5368585;100,128698;Carbón;0,92;;
Termoeléctrica Antilhue;ANTILHUE TG;ANTILHUE U1;Diesel;50,30;193,5368585;;Termoeléctrica Antilhue;ANTILHUE TG;ANTILHUE U1;Diesel;50,30;193,5368585;49,72246588;Gas natural;0,72;;
TECNORED;SAN GREGORIO;SAN GREGORIO;Diesel;0,50;199,1244574;;TECNORED;SAN GREGORIO;SAN GREGORIO;Diesel;0,50;199,1244574;0,494265;Diesel;0,99;;
TECNORED;QUINTAY;QUINTAY;Diesel;3,00;188,452536;;TECNORED;QUINTAY;QUINTAY;Diesel;3,00;188,452536;2,96559;Fuel Oil Nro 6;1,09;;
TECNORED;PLACILLA;PLACILLA;Diesel;2,40;187,333225;;TECNORED;PLACILLA;PLACILLA;Diesel;2,40;187,333225;2,372472;;;;
TECNORED;LINARES NORTE;LINARES;Diesel;0,50;199,1244574;;TECNORED;LINARES NORTE;LINARES;Diesel;0,50;199,1244574;0,494265;;;;
TECNORED;LAS VEGAS;LAS VEGAS;Diesel;2,10;194,9903257;;TECNORED;LAS VEGAS;LAS VEGAS;Diesel;2,10;194,9903257;2,07492447;;;;
TECNORED;EL TOTORAL;EL TOTORAL;Diesel;3,00;193,5164901;;TECNORED;EL TOTORAL;EL TOTORAL;Diesel;3,00;193,5164901;2,96559;;;;
TECNORED;CONCON;CONCON;Diesel;2,30;196,419452;;TECNORED;CONCON;CONCON;Diesel;2,30;196,419452;2,273619;;;;
TECNET;DIESEL LA PORTADA;LA PORTADA;Diesel;2,95;175,7678272;;TECNET;DIESEL LA PORTADA;LA PORTADA;Diesel;2,95;175,7678272;2,918535972;;;;
TAMAKAYA ENERGÍA;KELAR;KELAR;Gas Natural;521,71;75,73937655;;TAMAKAYA ENERGÍA;KELAR;KELAR;Gas Natural;521,71;75,73937655;376,15291;;;;
SW CONSULTING;EL SALVADOR;EL SALVADOR;Diesel;17,70;279,61921;;SW CONSULTING;EL SALVADOR;EL SALVADOR;Diesel;17,70;279,61921;17,49895806;;;;
SOCIEDAD GENERADORA AUSTRAL;CORONEL;CORONEL;Gas Natural;12,45;142,0612572;;SOCIEDAD GENERADORA AUSTRAL;CORONEL;CORONEL;Gas Natural;12,45;142,0612572;8,9794061;;;;
SOCIEDAD GENERADORA AUSTRAL;CHUYACA;CHUYACA;Diesel;13,29;187,768315;;SOCIEDAD GENERADORA AUSTRAL;CHUYACA;CHUYACA;Diesel;13,29;187,768315;13,1375637;;;;
SOCIEDAD GENERADORA AUSTRAL;CALLECALLE;CALLE CALLE;Diesel;11,60;171,3115407;;SOCIEDAD GENERADORA AUSTRAL;CALLECALLE;CALLE CALLE;Diesel;11,60;171,3115407;11,466948;;;;
SANTA MARTA;SANTA_MARTA;SANTA MARTA;Otro;13,50;15;;SANTA MARTA;SANTA_MARTA;SANTA MARTA;Otro;13,50;15;12,42351;;;;
PRIME ENERGIA;PAJONALES;PAJONALES;Diesel;101,36;263,025502;;PRIME ENERGIA;PAJONALES;PAJONALES;Diesel;101,36;263,025502;100,1974008;;;;
PRIME ENERGIA;CHAGUAL;CHAGUAL;Diesel;102,19;239,9188236;;PRIME ENERGIA;CHAGUAL;CHAGUAL;Diesel;102,19;239,9188236;101,0166945;;;;
ON GROUP;DIÉSEL AGUAS BLANCAS;DIÉSEL AGUAS BLANCAS;Diesel;1,83;180,3276481;;ON GROUP;DIÉSEL AGUAS BLANCAS;DIÉSEL AGUAS BLANCAS;Diesel;1,83;180,3276481;1,80604431;;;;
NUEVA DEGAN;DEGAÑ 2;DEGAÑ 2;Diesel;14,63;255,9433156;;NUEVA DEGAN;DEGAÑ 2;DEGAÑ 2;Diesel;14,63;255,9433156;14,46021684;;;;
NUEVA DEGAN;DEGAÑ 1;DEGAÑ 1;Diesel;36,00;221,263761;;NUEVA DEGAN;DEGAÑ 1;DEGAÑ 1;Diesel;36,00;221,263761;35,58708;;;;
LOS GUINDOS;LOS GUINDOS;LOS GUINDOS 2;Diesel;136,88;198,535888;;LOS GUINDOS;LOS GUINDOS;LOS GUINDOS 2;Diesel;136,88;198,535888;135,3099864;;;;
LOS GUINDOS;LOS GUINDOS;LOS GUINDOS;Diesel;134,04;199,2491356;;LOS GUINDOS;LOS GUINDOS;LOS GUINDOS;Diesel;134,04;199,2491356;132,5055268;;;;
KDM;LOMA_LOS_COLORADOS_2;LOMA LOS COLORADOS 2;Otro;18,20;10,25;;KDM;LOMA_LOS_COLORADOS_2;LOMA LOS COLORADOS 2;Otro;18,20;10,25;16,748732;;;;
KDM;LOMA_LOS_COLORADOS_1;LOMA LOS COLORADOS 1;Otro;2,00;11,57;;KDM;LOMA_LOS_COLORADOS_1;LOMA LOS COLORADOS 1;Otro;2,00;11,57;1,84052;;;;
INERSA;TENO_GAS_50;TENO GAS 50;Otro;43,68;187,3078368;;INERSA;TENO_GAS_50;TENO GAS 50;Otro;43,68;187,3078368;40,1969568;;;;
INACAL;DIESEL INACAL;INACAL;Diesel;5,90;225,7314054;;INACAL;DIESEL INACAL;INACAL;Diesel;5,90;225,7314054;5,835688002;;;;
IMELSA;TRINCAO;TRINCAO;Diesel;17,52;172,3827595;;IMELSA;TRINCAO;TRINCAO;Diesel;17,52;172,3827595;17,3190456;;;;
IMELSA;CENIZAS;CENIZAS;Diesel;13,90;174,9614769;;IMELSA;CENIZAS;CENIZAS;Diesel;13,90;174,9614769;13,740567;;;;
GUACOLDA;GUACOLDA;GUACOLDA 5;Carbón;142,67;60,72855805;;GUACOLDA;GUACOLDA;GUACOLDA 5;Carbón;142,67;60,72855805;131,296255;;;;
